salon;edition_annee;entreprise;secteur_metier;site_web;email;type_email;email_origine;email_annuaire;email_site;email_site_source;nom_contact;fonction;ville;departement;telephone;source_url;date_collecte;statut_validation;segment_ICP
Medfel;2026;KHALED KECHROUD;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/khaled-kechroud/;2026-06-20;a_enrichir;Haute
Medfel;2026;BIZERN le froid, la climatisation, la cuisine professionnelle;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/bizern-le-froid-la-climatisation-la-cuisine-professionnelle/;2026-06-20;a_enrichir;Haute
Medfel;2026;CREDIT AGRICOLE SUD MEDITERRANEE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/credit-agricole-sud-mediterranee/;2026-06-20;a_enrichir;Haute
Medfel;2026;TOM SUD;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/tom-sud/;2026-06-20;a_enrichir;Haute
Medfel;2026;SELECTFOOD;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/selectfood/;2026-06-20;a_enrichir;Haute
Medfel;2026;ROSARIO;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/rosario/;2026-06-20;a_enrichir;Haute
Medfel;2026;PUJOL VERDAGUER;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/pujol-verdaguer/;2026-06-20;a_enrichir;Haute
Medfel;2026;PRIM SAVEURS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/prim-saveurs/;2026-06-20;a_enrichir;Haute
Medfel;2026;PHILAFRANCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/philafrance/;2026-06-20;a_enrichir;Haute
Medfel;2026;NOLLA FRUITS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/nolla-fruits/;2026-06-20;a_enrichir;Haute
Medfel;2026;DON RICARDO / NINO FRUITS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/don-ricardo-nino-fruits/;2026-06-20;a_enrichir;Haute
Medfel;2026;MUGUI / DETERRA GLOBAL FRANCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/mugui-deterra-global-france/;2026-06-20;a_enrichir;Haute
Medfel;2026;MEDFRUITS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/medfruits/;2026-06-20;a_enrichir;Haute
Medfel;2026;INDIANA IMPORT;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/indiana-import/;2026-06-20;a_enrichir;Haute
Medfel;2026;ESFRUIMAR;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/esfruimar/;2026-06-20;a_enrichir;Haute
Medfel;2026;DESTI-FRUITS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/desti-fruits/;2026-06-20;a_enrichir;Haute
Medfel;2026;DELISOL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/delisol/;2026-06-20;a_enrichir;Haute
Medfel;2026;DEIT ET FILS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/deit-et-fils/;2026-06-20;a_enrichir;Haute
Medfel;2026;ARMOR PRIM – ENBATA;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/armor-prim-enbata/;2026-06-20;a_enrichir;Haute
Medfel;2026;ALROPRIM – BLASCO;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/alroprim-blasco/;2026-06-20;a_enrichir;Haute
Medfel;2026;AGRI MA INTERNATIONAL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/agri-ma-international/;2026-06-20;a_enrichir;Haute
Medfel;2026;COMIFRUIT;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/comifruit/;2026-06-20;a_enrichir;Haute
Medfel;2026;RESTOS DU COEUR;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/restos-du-coeur/;2026-06-20;a_enrichir;Haute
Medfel;2026;NATURAL FRUIT FRANCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/natural-fruit-france/;2026-06-20;a_enrichir;Haute
Medfel;2026;ALMA BOUQUETS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/alma-bouquets/;2026-06-20;a_enrichir;Haute
Medfel;2026;ILEX ENVIRONNEMENT;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/ilex-environnement/;2026-06-20;a_enrichir;Haute
Medfel;2026;GROUPE PRIMEVER;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/groupe-primever/;2026-06-20;a_enrichir;Haute
Medfel;2026;CONSORTIUM FRESH NATURE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/consortium-fresh-nature/;2026-06-20;a_enrichir;Haute
Medfel;2026;HINOJOSA PACKAGING GROUP;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/hinojosa-packaging-group/;2026-06-20;a_enrichir;Haute
Medfel;2026;JIC FRANCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/jic-france/;2026-06-20;a_enrichir;Haute
Medfel;2026;FLOREN’SUD;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/florensud/;2026-06-20;a_enrichir;Haute
Medfel;2026;FRUTARIA INNOVATION;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/frutaria-innovation/;2026-06-20;a_enrichir;Haute
Medfel;2026;PLAINE DU ROUSSILLON;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/plaine-du-roussillon/;2026-06-20;a_enrichir;Haute
Medfel;2026;ALTERNEA;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/alternea/;2026-06-20;a_enrichir;Haute
Medfel;2026;QUERCY RÉFRIGÉRATION;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/quercy-refrigeration/;2026-06-20;a_enrichir;Haute
Medfel;2026;FERME DE FONTENAY (VAL LEGUMES SAS);Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/ferme-de-fontenay-val-legumes-sas/;2026-06-20;a_enrichir;Haute
Medfel;2026;SAVEUR D’ANTAN – LAURIDAM;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/saveur-dantan-lauridam/;2026-06-20;a_enrichir;Haute
Medfel;2026;LES MARAICHERS DE LA VALLEE DES BAUX DE PROVENCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/les-maraichers-de-la-vallee-des-baux-de-provence/;2026-06-20;a_enrichir;Haute
Medfel;2026;PA SA GE INTERNATIONAL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/pa-sa-ge-international/;2026-06-20;a_enrichir;Haute
Medfel;2026;MZ FRUITS ET LEGUMES;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/mz-fruits-et-legumes/;2026-06-20;a_enrichir;Haute
Medfel;2026;ARCO FRUITS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/arco-fruits/;2026-06-20;a_enrichir;Haute
